Appname,Date,Score,Text,text
"Groww Stocks, Mutual Fund, IPO",Unknown,3,Everything is fine and happy with App. Only one biggest drawback of SIP... App deduct amount before a day and allocate units after 4-6 days.... I don't know whether this is a problem from MF company or Groww App. But highly disappointed...😔😡😡👎👎👎,everything is fine and happy with app only one biggest drawback of sip app deduct amount before a day and allocate units after days i dont know whether this is a problem from mf company or groww app but highly disappointed
"Groww Stocks, Mutual Fund, IPO",Unknown,5,good and easy to run,good and easy to run
"Groww Stocks, Mutual Fund, IPO",Unknown,5,good,good
"Groww Stocks, Mutual Fund, IPO",Unknown,5,one day show with price,one day show with price
"Groww Stocks, Mutual Fund, IPO",Unknown,5,very nice 👍,very nice
"Groww Stocks, Mutual Fund, IPO",Unknown,5,good 👍,good
"Groww Stocks, Mutual Fund, IPO",Unknown,5,ok,ok
"Groww Stocks, Mutual Fund, IPO",Unknown,5,The Excellent and Superb Serices by Groww application and Best User interface..,the excellent and superb serices by groww application and best user interface
"Groww Stocks, Mutual Fund, IPO",Unknown,5,good app,good app
"Groww Stocks, Mutual Fund, IPO",Unknown,5,excellent 👍,excellent
"Groww Stocks, Mutual Fund, IPO",Unknown,5,good,good
"Groww Stocks, Mutual Fund, IPO",Unknown,5,Best App,best app
"Groww Stocks, Mutual Fund, IPO",Unknown,5,good application for freshers,good application for freshers
"Groww Stocks, Mutual Fund, IPO",Unknown,5,good,good
"Groww Stocks, Mutual Fund, IPO",Unknown,5,great,great
"Groww Stocks, Mutual Fund, IPO",Unknown,5,Best app in borkar,best app in borkar
"Groww Stocks, Mutual Fund, IPO",Unknown,2,sometimes leg problem,sometimes leg problem
"Groww Stocks, Mutual Fund, IPO",Unknown,4,best,best
"Groww Stocks, Mutual Fund, IPO",Unknown,4,good work,good work
"Groww Stocks, Mutual Fund, IPO",Unknown,5,good o,good o
"Groww Stocks, Mutual Fund, IPO",Unknown,1,Waste app amount will be not received,waste app amount will be not received
"Groww Stocks, Mutual Fund, IPO",Unknown,5,very nice👍,very nice
"Groww Stocks, Mutual Fund, IPO",Unknown,5,good,good
"Groww Stocks, Mutual Fund, IPO",Unknown,5,super🤩,super
"Groww Stocks, Mutual Fund, IPO",Unknown,5,I have liked this trading platform so much that I cannot think of any other platform.,i have liked this trading platform so much that i cannot think of any other platform
"Groww Stocks, Mutual Fund, IPO",Unknown,5,super services,super services
"Groww Stocks, Mutual Fund, IPO",Unknown,1,Very bad experience with grow ..pls avoid this and use angel instead,very bad experience with grow pls avoid this and use angel instead
"Groww Stocks, Mutual Fund, IPO",Unknown,5,"Best app for investing and trading only ..if you want other things then go for other app this app is only for investing and trading,no adds,no pop ups,no glitch,no issues about deposit and withdrawal and finally no issue in app...real time data ,less then 1sec you can place any order.. Thank you groww ♥️♥️",best app for investing and trading only if you want other things then go for other app this app is only for investing and tradingno addsno pop upsno glitchno issues about deposit and withdrawal and finally no issue in appreal time data less then sec you can place any order thank you groww
"Groww Stocks, Mutual Fund, IPO",Unknown,5,simply the best app.,simply the best app
"Groww Stocks, Mutual Fund, IPO",Unknown,1,Very easy to deposit money in groww and very difficult to withdraw it to your bank account. Do not use grow,very easy to deposit money in groww and very difficult to withdraw it to your bank account do not use grow
"Groww Stocks, Mutual Fund, IPO",Unknown,5,good 👍,good
"Groww Stocks, Mutual Fund, IPO",Unknown,2,Bekar app,bekar app
"Groww Stocks, Mutual Fund, IPO",Unknown,4,Simple application very easy...,simple application very easy
"Groww Stocks, Mutual Fund, IPO",Unknown,1,"pathetic... go for additional purchase in MF, and u'll get a new folio.if u merge them ,they remain in display even if they r inactive. ridiculous !!!!",pathetic go for additional purchase in mf and ull get a new folioif u merge them they remain in display even if they r inactive ridiculous
"Groww Stocks, Mutual Fund, IPO",Unknown,1,"Bogus..... every time u go for additional purchase in mutual fund,a new folio is generated. Even If u consolidate multiple folios, they (source folios) r still being displàyed and additional purchase in fund gets rejected showing the reason of consolidation...... Pathetic !!!!!",bogus every time u go for additional purchase in mutual funda new folio is generated even if u consolidate multiple folios they source folios r still being displàyed and additional purchase in fund gets rejected showing the reason of consolidation pathetic
"Groww Stocks, Mutual Fund, IPO",Unknown,5,5STAR,star
"Groww Stocks, Mutual Fund, IPO",Unknown,5,"Overall good and supportive application, user friendly interface.",overall good and supportive application user friendly interface
"Groww Stocks, Mutual Fund, IPO",Unknown,1,I don't know why but app loading take lots of time than usual,i dont know why but app loading take lots of time than usual
"Groww Stocks, Mutual Fund, IPO",Unknown,5,good,good
"Groww Stocks, Mutual Fund, IPO",Unknown,5,be good 💯,be good
"Groww Stocks, Mutual Fund, IPO",Unknown,5,cool,cool
"Groww Stocks, Mutual Fund, IPO",Unknown,5,good,good
"Groww Stocks, Mutual Fund, IPO",Unknown,5,love it 😀,love it
"Groww Stocks, Mutual Fund, IPO",Unknown,5,👍 bast,bast
"Groww Stocks, Mutual Fund, IPO",Unknown,3,Why are you not buy and show bounds in groww app.,why are you not buy and show bounds in groww app
"Groww Stocks, Mutual Fund, IPO",Unknown,5,nice groww app,nice groww app
"Groww Stocks, Mutual Fund, IPO",Unknown,1,Do we have any option for children account?,do we have any option for children account
"Groww Stocks, Mutual Fund, IPO",Unknown,2,"I am not satisfied with grow app ,Brokerage Charges of Grow app in stocks buy and sell, sip, intraday is much higher than other app like Kotak neo, angel etc, i paid high brokerage in grow, i have invested around 2 lacs 60 thousand.",i am not satisfied with grow app brokerage charges of grow app in stocks buy and sell sip intraday is much higher than other app like kotak neo angel etc i paid high brokerage in grow i have invested around lacs thousand
"Groww Stocks, Mutual Fund, IPO",Unknown,5,"Easy to use, and offers wide range of mutual funds.",easy to use and offers wide range of mutual funds
"Groww Stocks, Mutual Fund, IPO",Unknown,4,very good,very good
"Groww Stocks, Mutual Fund, IPO",Unknown,2,"Watchlist shall be able to move left or right as per users preference like we can move stocks up or down in a watchlist,as something any user wants to view a preticular watchlist in preference view but if that list is placed in middle or last position then it's being deficult to swiped all watchlist every time",watchlist shall be able to move left or right as per users preference like we can move stocks up or down in a watchlistas something any user wants to view a preticular watchlist in preference view but if that list is placed in middle or last position then its being deficult to swiped all watchlist every time
"Groww Stocks, Mutual Fund, IPO",Unknown,5,excellent,excellent
"Groww Stocks, Mutual Fund, IPO",Unknown,1,"Display OI data chart like Sensibull, Upstock for easier trading. It's difficult to go from app to app when there's movement in the market.",display oi data chart like sensibull upstock for easier trading its difficult to go from app to app when theres movement in the market
"Groww Stocks, Mutual Fund, IPO",Unknown,1,Glitches everytime.,glitches everytime
"Groww Stocks, Mutual Fund, IPO",Unknown,5,Very good,very good
"Groww Stocks, Mutual Fund, IPO",Unknown,5,Good,good
"Groww Stocks, Mutual Fund, IPO",Unknown,5,Super,super
"Groww Stocks, Mutual Fund, IPO",Unknown,4,Nice app,nice app
"Groww Stocks, Mutual Fund, IPO",Unknown,5,osm,osm
"Groww Stocks, Mutual Fund, IPO",Unknown,5,nice,nice
"Groww Stocks, Mutual Fund, IPO",Unknown,5,😘,
"Groww Stocks, Mutual Fund, IPO",Unknown,5,nice 👍,nice
"Groww Stocks, Mutual Fund, IPO",Unknown,3,"It would be grt if we can have a portfolio analysis tool for the stocks we hold, just like we have for mutual funds.",it would be grt if we can have a portfolio analysis tool for the stocks we hold just like we have for mutual funds
"Groww Stocks, Mutual Fund, IPO",Unknown,5,Very nice app,very nice app
"Groww Stocks, Mutual Fund, IPO",Unknown,5,good,good
"Groww Stocks, Mutual Fund, IPO",Unknown,1,Grow is a cheater app..they allowed a share like senco gold as MTF margin buying..but when they delisted senco gold from their MTF lists.They squared off all my MTf senco gold shares running in 50%..loss.it's completely a cheating to the customer.!!even though my MTF shares was 100% funded by me.they could hold them as delivery.but they didn't. so please don't buy any shares as MTF margin IN GROW bcz they can delist any share anytime from MTF lists and can sell them without customers consent.,grow is a cheater appthey allowed a share like senco gold as mtf margin buyingbut when they delisted senco gold from their mtf liststhey squared off all my mtf senco gold shares running in lossits completely a cheating to the customereven though my mtf shares was funded by methey could hold them as deliverybut they didnt so please dont buy any shares as mtf margin in grow bcz they can delist any share anytime from mtf lists and can sell them without customers consent
"Groww Stocks, Mutual Fund, IPO",Unknown,5,Excellent,excellent
"Groww Stocks, Mutual Fund, IPO",Unknown,5,Wonderful experience from this app,wonderful experience from this app
"Groww Stocks, Mutual Fund, IPO",Unknown,5,Nice app,nice app
"Groww Stocks, Mutual Fund, IPO",Unknown,4,good,good
