Appname,Date,Score,Text,text
Document Scanner - PDF Creator,Unknown,5,nice one,nice one
Document Scanner - PDF Creator,Unknown,4,very good,very good
Document Scanner - PDF Creator,Unknown,1,very bad,very bad
Document Scanner - PDF Creator,Unknown,1,best,best
Document Scanner - PDF Creator,Unknown,4,good service,good service
Document Scanner - PDF Creator,Unknown,5,Good,good
Document Scanner - PDF Creator,Unknown,5,super,super
Document Scanner - PDF Creator,Unknown,5,very good,very good
Document Scanner - PDF Creator,Unknown,5,Good 👍,good
Document Scanner - PDF Creator,Unknown,5,very nice app,very nice app
Document Scanner - PDF Creator,Unknown,5,too good,too good
Document Scanner - PDF Creator,Unknown,5,thas good,thas good
Document Scanner - PDF Creator,Unknown,4,very useful app,very useful app
Document Scanner - PDF Creator,Unknown,5,Very useful,very useful
Document Scanner - PDF Creator,Unknown,4,very nice,very nice
Document Scanner - PDF Creator,Unknown,3,Very Good very easy to use,very good very easy to use
Document Scanner - PDF Creator,Unknown,3,good,good
Document Scanner - PDF Creator,Unknown,5,Good app,good app
Document Scanner - PDF Creator,Unknown,5,it's too good 👍 👍 👍 😊,its too good
Document Scanner - PDF Creator,Unknown,4,good,good
Document Scanner - PDF Creator,Unknown,5,super,super
Document Scanner - PDF Creator,Unknown,5,love it👌,love it
Document Scanner - PDF Creator,Unknown,5,Excellent,excellent
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,best,best
Document Scanner - PDF Creator,Unknown,5,OK super good 👍,ok super good
Document Scanner - PDF Creator,Unknown,4,best,best
Document Scanner - PDF Creator,Unknown,1,excellent,excellent
Document Scanner - PDF Creator,Unknown,5,nice,nice
Document Scanner - PDF Creator,Unknown,5,good work,good work
Document Scanner - PDF Creator,Unknown,5,Excellent,excellent
Document Scanner - PDF Creator,Unknown,5,👍👍,
Document Scanner - PDF Creator,Unknown,5,Good,good
Document Scanner - PDF Creator,Unknown,5,Good app,good app
Document Scanner - PDF Creator,Unknown,5,Great app 👍🏼,great app
Document Scanner - PDF Creator,Unknown,5,I am very happy ..is app ko uske karke ..thank You so much,i am very happy is app ko uske karke thank you so much
Document Scanner - PDF Creator,Unknown,5,good,good
Document Scanner - PDF Creator,Unknown,5,Soo happy 😊😊 soo 👍👍,soo happy soo
Document Scanner - PDF Creator,Unknown,5,very nice app,very nice app
